CO2 Emission,Year,Month
106.363,1973,1
101.76,1973,2
110.553,1973,3
104.734,1973,4
114.897,1973,5
109.24,1973,6
112.139,1973,7
116.683,1973,8
106.558,1973,9
111.655,1973,10
112.111,1973,11
108.505,1973,12
101.702,1974,1
94.699,1974,2
104.722,1974,3
103.963,1974,4
110.262,1974,5
108.271,1974,6
111.896,1974,7
113.59,1974,8
103.154,1974,9
111.238,1974,10
106.852,1974,11
110.752,1974,12
109.278,1975,1
96.311,1975,2
107.668,1975,3
106.921,1975,4
109.491,1975,5
108.366,1975,6
110.528,1975,7
110.382,1975,8
105.805,1975,9
111.233,1975,10
102.308,1975,11
113.272,1975,12
108.551,1976,1
100.674,1976,2
113.871,1976,3
112.309,1976,4
111.165,1976,5
114.374,1976,6
117.051,1976,7
114.179,1976,8
112.267,1976,9
113.608,1976,10
113.584,1976,11
122.117,1976,12
112.072,1977,1
108.661,1977,2
117.714,1977,3
116.508,1977,4
114.986,1977,5
119.16,1977,6
118.405,1977,7
121.821,1977,8
117.014,1977,9
118.562,1977,10
117.087,1977,11
124.403,1977,12
117.015,1978,1
112.042,1978,2
125.332,1978,3
118.81,1978,4
126.992,1978,5
123.855,1978,6
122.475,1978,7
127.988,1978,8
117.731,1978,9
123.353,1978,10
122.424,1978,11
125.518,1978,12
123.167,1979,1
118.58,1979,2
130.63,1979,3
117.36,1979,4
123.727,1979,5
119.237,1979,6
118.053,1979,7
124.07,1979,8
116.094,1979,9
123.559,1979,10
116.883,1979,11
122.79,1979,12
119.451,1980,1
115.62,1980,2
120.083,1980,3
119.44,1980,4
117.929,1980,5
113.236,1980,6
117.026,1980,7
113.828,1980,8
113.574,1980,9
119.433,1980,10
109.646,1980,11
120.805,1980,12
121.17,1981,1
107.199,1981,2
116.473,1981,3
113.178,1981,4
115.107,1981,5
117.348,1981,6
118.903,1981,7
116.315,1981,8
113.487,1981,9
114.718,1981,10
110.621,1981,11
120.853,1981,12
111.095,1982,1
105.832,1982,2
115.756,1982,3
117.166,1982,4
114.467,1982,5
113.819,1982,6
114.521,1982,7
113.123,1982,8
109.834,1982,9
111.197,1982,10
112.45,1982,11
114.75,1982,12
107.056,1983,1
97.342,1983,2
118.863,1983,3
109.281,1983,4
114.806,1983,5
116.412,1983,6
115.006,1983,7
118.12,1983,8
113.911,1983,9
114.793,1983,10
112.349,1983,11
121.428,1983,12
114.815,1984,1
104.542,1984,2
116.514,1984,3
115.042,1984,4
120.139,1984,5
117.845,1984,6
118.902,1984,7
122.061,1984,8
112.518,1984,9
117.92,1984,10
114.588,1984,11
115.044,1984,12
116.437,1985,1
106.276,1985,2
118.768,1985,3
119.343,1985,4
122.776,1985,5
117.505,1985,6
121.754,1985,7
125.358,1985,8
112.937,1985,9
121.421,1985,10
116.266,1985,11
122.394,1985,12
117.285,1986,1
106.743,1986,2
123.482,1986,3
122.079,1986,4
125.322,1986,5
122.832,1986,6
128.998,1986,7
129.593,1986,8
118.161,1986,9
126.851,1986,10
119.988,1986,11
130.724,1986,12
121.635,1987,1
114.373,1987,2
125.246,1987,3
126.185,1987,4
129.344,1987,5
128.083,1987,6
133.173,1987,7
129.565,1987,8
125.854,1987,9
131.551,1987,10
122.368,1987,11
131.619,1987,12
128.296,1988,1
125.31,1988,2
136.189,1988,3
130.537,1988,4
130.398,1988,5
133.33,1988,6
131.656,1988,7
134.048,1988,8
128.995,1988,9
133.828,1988,10
129.664,1988,11
136.71,1988,12
128.918,1989,1
120.626,1989,2
136.676,1989,3
128.047,1989,4
133.387,1989,5
135.315,1989,6
132.658,1989,7
138.339,1989,8
127.045,1989,9
137.42,1989,10
131.177,1989,11
141.623,1989,12
132.13,1990,1
124.112,1990,2
136.18,1990,3
128.734,1990,4
136.301,1990,5
131.493,1990,6
134.462,1990,7
142.692,1990,8
124.65,1990,9
134.329,1990,10
130.118,1990,11
132.452,1990,12
128.475,1991,1
117.438,1991,2
132.303,1991,3
126.796,1991,4
131.096,1991,5
131.906,1991,6
135.301,1991,7
137.306,1991,8
127.507,1991,9
135.621,1991,10
127.697,1991,11
136.5,1991,12
130.575,1992,1
124.527,1992,2
133.244,1992,3
130.474,1992,4
134.711,1992,5
130.524,1992,6
136.463,1992,7
135.964,1992,8
128.072,1992,9
137.062,1992,10
128.529,1992,11
141.489,1992,12
126.057,1993,1
121.775,1993,2
136.49,1993,3
132.605,1993,4
137.131,1993,5
132.95,1993,6
137.27,1993,7
137.629,1993,8
133.998,1993,9
137.167,1993,10
135.548,1993,11
142.56,1993,12
131.53,1994,1
126.598,1994,2
137.517,1994,3
136.051,1994,4
139.108,1994,5
137.44,1994,6
139.608,1994,7
146.291,1994,8
134.497,1994,9
139.791,1994,10
134.281,1994,11
144.748,1994,12
136.024,1995,1
126.667,1995,2
143.425,1995,3
135.654,1995,4
142.402,1995,5
144.016,1995,6
139.946,1995,7
145.59,1995,8
139.9,1995,9
143.573,1995,10
139.771,1995,11
144.017,1995,12
139.743,1996,1
133.989,1996,2
144.146,1996,3
141.487,1996,4
148.116,1996,5
142.27,1996,6
148.11,1996,7
152.043,1996,8
137.942,1996,9
151.929,1996,10
141.13,1996,11
144.188,1996,12
140.131,1997,1
131.825,1997,2
145.337,1997,3
146.006,1997,4
149.482,1997,5
145.099,1997,6
153.022,1997,7
149.523,1997,8
141.952,1997,9
149.469,1997,10
142.892,1997,11
149.368,1997,12
144.658,1998,1
131.742,1998,2
147.41,1998,3
151.445,1998,4
148.087,1998,5
147.916,1998,6
156.498,1998,7
153.655,1998,8
146.782,1998,9
153.585,1998,10
145.581,1998,11
154.343,1998,12
144.707,1999,1
134.447,1999,2
152.607,1999,3
148.926,1999,4
154.708,1999,5
152.885,1999,6
157.498,1999,7
159.274,1999,8
148.566,1999,9
158.876,1999,10
149.733,1999,11
165.733,1999,12
146.201,2000,1
146.085,2000,2
155.354,2000,3
152.263,2000,4
158.52,2000,5
157.023,2000,6
162.879,2000,7
164.484,2000,8
153.129,2000,9
161.534,2000,10
152.833,2000,11
161.74,2000,12
150.547,2001,1
139.579,2001,2
157.025,2001,3
153.091,2001,4
160.005,2001,5
154.542,2001,6
164.193,2001,7
161.735,2001,8
149.5,2001,9
158.846,2001,10
150.345,2001,11
152.096,2001,12
152.348,2002,1
140.487,2002,2
158.831,2002,3
156.497,2002,4
162.441,2002,5
159.589,2002,6
164.205,2002,7
165.522,2002,8
152.946,2002,9
159.745,2002,10
156.984,2002,11
162.608,2002,12
151.486,2003,1
141.777,2003,2
157.913,2003,3
154.787,2003,4
160.096,2003,5
156.997,2003,6
163.592,2003,7
168.581,2003,8
155.153,2003,9
163.515,2003,10
156.837,2003,11
162.666,2003,12
157.164,2004,1
153.163,2004,2
164.533,2004,3
161.221,2004,4
165.486,2004,5
163.378,2004,6
169.78,2004,7
169.555,2004,8
160.535,2004,9
168.76,2004,10
162.127,2004,11
